arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes
1073.88397,2645,849721397,3828064583,896,884
1073.978566,2651,849724397,3828064583,143,131
1075.353404,2647,849712397,3828064583,141,129
1077.304941,2642,849709397,3828064583,1472,1460
1079.729522,2657,849757397,3828064583,951,939
1080.48637,2653,849745397,3828064583,933,921
1080.619221,2656,849742397,3828064583,198,186
1083.358453,2648,849718397,3828064583,186,174
1084.671343,2646,849715397,3828064583,200,188
1086.403563,2649,849733397,3828064583,844,832
1086.834363,2654,849739397,3828064583,219,207
1089.866298,2658,849751397,3828064583,231,219
1090.018477,2652,849730397,3828064583,203,191
1091.603675,2644,849709397,3828064583,1143,1131
1093.159066,2643,849709397,3828064583,1472,1460
1093.499089,2661,849769397,3828064583,930,918
1094.434757,2641,849709397,3828064583,1472,1460
1094.664901,2640,849709397,3828064583,1472,1460
1095.005303,2659,849748397,3828064583,167,155
1095.029912,2650,849727397,3828064583,218,206
1095.776677,2639,849709397,3828064583,698,686
1097.904927,2660,849754397,3828064583,141,129
1104.506393,2655,849736397,3828064583,192,180
1115.326302,2662,849763397,3828064583,165,153
1143.090304,2663,849760397,3828064583,194,182
1192.803858,2664,849766397,3828064583,196,184
1222.609426,2665,849781397,3828064583,931,919
1234.413522,2666,849775397,3828064583,214,202
1289.148729,2667,849772397,3828064583,168,156
1317.47929,2668,849778397,3828064583,173,161
1345.468842,2669,849793397,3828064583,919,907
1368.819668,2670,849787397,3828064583,215,203
1428.060245,2671,849784397,3828064583,175,163
1436.482523,2672,849790397,3828064583,192,180
1481.999638,2673,849805397,3828064583,836,824
1530.937972,2674,849799397,3828064583,282,270
1561.165762,2675,849796397,3828064583,191,179
1579.305313,2676,849802397,3828064583,217,205
1615.753985,2677,849817397,3828064583,999,987
1639.694107,2678,849811397,3828064583,214,202
1686.664482,2679,849808397,3828064583,179,167
1720.437252,2680,849814397,3828064583,179,167
1745.291387,2681,849829397,3828064583,980,968
1793.966539,2682,849823397,3828064583,246,234
1824.588668,2683,849820397,3828064583,193,181
1839.44382,2684,849826397,3828064583,242,230
1899.344997,2685,849841397,3828064583,821,809
1913.162283,2686,849835397,3828064583,276,264
1956.914798,2687,849832397,3828064583,186,174
1971.93116,2688,849838397,3828064583,211,199
2025.153159,2689,849853397,3828064583,864,852
2048.515477,2690,849847397,3828064583,292,280
2088.211692,2691,849844397,3828064583,209,197
2135.16534,2692,849850397,3828064583,181,169
2162.429778,2694,849859397,3828064583,266,254
2166.935457,2693,849865397,3828064583,940,928
2227.005047,2695,849856397,3828064583,225,213
2269.21315,2696,849862397,3828064583,226,214
2283.881196,2697,849877397,3828064583,1017,1005
2324.285162,2698,849871397,3828064583,267,255
2364.26757,2699,849868397,3828064583,217,205
2402.080452,2700,849874397,3828064583,222,210
2418.558819,2701,849889397,3828064583,924,912
2458.227989,2702,849883397,3828064583,279,267
2474.876585,2703,849880397,3828064583,232,220
2532.424894,2704,849886397,3828064583,228,216
2553.049564,2705,849901397,3828064583,917,905
2582.50927,2706,849895397,3828064583,220,208
2649.618538,2707,849892397,3828064583,179,167
2660.665091,2708,849898397,3828064583,192,180
2688.905512,2709,849913397,3828064583,849,837
2724.528042,2710,849907397,3828064583,195,183
2758.456192,2711,849904397,3828064583,156,144
2767.349701,2712,849910397,3828064583,154,142
2830.09227,2713,849925397,3828064583,877,865
2853.149429,2714,849919397,3828064583,198,186
2857.085971,2715,849916397,3828064583,186,174
2930.63115,2716,849922397,3828064583,190,178
2971.255439,2717,849937397,3828064583,1048,1036
2987.2524,2718,849931397,3828064583,254,242
3003.04942,2719,849928397,3828064583,191,179
3055.295914,2720,849934397,3828064583,224,212
3083.165801,2721,849949397,3828064583,1005,993
