arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes
3079.424992,710,1974144283,217462251,698,686
3079.478773,711,1974144283,217462251,1472,1460
3079.491594,712,1974144283,217462251,1472,1460
3079.499935,713,1974144283,217462251,1472,1460
3079.507764,714,1974144283,217462251,1472,1460
3079.52275,715,1974144283,217462251,1143,1131
3079.539228,716,1974156283,217462251,896,884
3079.548058,717,1974150283,217462251,200,188
3079.555595,718,1974147283,217462251,141,129
3079.565714,719,1974153283,217462251,186,174
3079.572664,720,1974168283,217462251,844,832
3079.582329,721,1974162283,217462251,218,206
3079.660498,722,1974159283,217462251,143,131
3079.667858,723,1974165283,217462251,203,191
3079.675049,724,1974180283,217462251,933,921
3079.684299,725,1974174283,217462251,219,207
3079.691231,726,1974171283,217462251,192,180
3079.698647,727,1974177283,217462251,198,186
3079.70932,728,1974192283,217462251,951,939
3079.716374,729,1974186283,217462251,231,219
3079.725895,730,1974183283,217462251,167,155
3079.732944,731,1974189283,217462251,141,129
3079.740597,732,1974204283,217462251,930,918
3112.60751,733,1974198283,217462251,165,153
3145.953497,734,1974195283,217462251,194,182
3179.198358,735,1974201283,217462251,196,184
3212.746151,736,1974216283,217462251,931,919
3246.404674,737,1974210283,217462251,214,202
3280.11489,738,1974207283,217462251,168,156
3313.278761,739,1974213283,217462251,173,161
3346.58641,740,1974228283,217462251,919,907
3379.693869,741,1974222283,217462251,215,203
3413.041189,742,1974219283,217462251,175,163
3446.459842,743,1974225283,217462251,192,180
3479.777834,744,1974240283,217462251,836,824
3513.257263,745,1974234283,217462251,282,270
3546.610835,746,1974231283,217462251,191,179
3580.041294,747,1974237283,217462251,217,205
3612.965453,748,1974252283,217462251,999,987
3646.410257,749,1974246283,217462251,214,202
3680.250808,750,1974243283,217462251,179,167
3713.263777,751,1974249283,217462251,179,167
3746.35251,752,1974264283,217462251,980,968
3779.931302,753,1974258283,217462251,246,234
3813.43622,754,1974255283,217462251,193,181
3846.756638,755,1974261283,217462251,242,230
3879.874319,756,1974276283,217462251,821,809
3913.455973,757,1974270283,217462251,276,264
3946.418591,758,1974267283,217462251,186,174
3980.093038,759,1974273283,217462251,211,199
4013.256315,760,1974288283,217462251,864,852
4046.532639,761,1974282283,217462251,292,280
4080.054633,762,1974279283,217462251,209,197
4113.185876,763,1974285283,217462251,181,169
4146.583371,764,1974300283,217462251,940,928
4180.103662,765,1974294283,217462251,266,254
4213.293147,766,1974291283,217462251,225,213
4246.60106,767,1974297283,217462251,226,214
4280.060179,768,1974312283,217462251,1017,1005
4313.279032,769,1974306283,217462251,267,255
4346.481936,770,1974303283,217462251,217,205
4379.931049,771,1974309283,217462251,222,210
4413.244805,772,1974324283,217462251,924,912
4446.542175,773,1974318283,217462251,279,267
4479.928511,774,1974315283,217462251,232,220
4513.271072,775,1974321283,217462251,228,216
4546.818727,776,1974336283,217462251,917,905
4580.103409,777,1974330283,217462251,220,208
4612.989436,778,1974327283,217462251,179,167
4646.451553,779,1974333283,217462251,192,180
4680.126244,780,1974348283,217462251,849,837
4713.193783,781,1974342283,217462251,195,183
4746.507813,782,1974339283,217462251,156,144
4780.007771,783,1974345283,217462251,154,142
4813.325219,784,1974360283,217462251,877,865
4846.500674,785,1974354283,217462251,198,186
4880.022788,786,1974351283,217462251,186,174
4913.30318,787,1974357283,217462251,190,178
4946.553963,788,1974372283,217462251,1048,1036
4980.081395,789,1974366283,217462251,254,242
5013.371123,790,1974363283,217462251,191,179
5046.713519,791,1974369283,217462251,224,212
5079.859912,792,1974384283,217462251,1005,993
5113.015746,793,1974378283,217462251,264,252
5146.456069,794,1974375283,217462251,214,202
5180.187064,795,1974381283,217462251,167,155
5213.379546,796,1974396283,217462251,1009,997
5246.481916,797,1974390283,217462251,253,241
5280.008917,798,1974387283,217462251,191,179
5313.303468,799,1974393283,217462251,168,156
5346.566409,800,1974408283,217462251,976,964
5379.926215,801,1974402283,217462251,221,209
5413.49662,802,1974399283,217462251,188,176
5446.516521,803,1974405283,217462251,234,222
5479.9271,804,1974420283,217462251,851,839
5513.136723,805,1974414283,217462251,254,242
5546.538651,806,1974411283,217462251,196,184
