arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes
1064.776501,502,3478350481,2343461934,698,686
1064.846411,503,3478350481,2343461934,1472,1460
1064.859942,504,3478350481,2343461934,1472,1460
1064.869348,505,3478350481,2343461934,1472,1460
1064.878499,506,3478350481,2343461934,1472,1460
1064.896199,507,3478350481,2343461934,1143,1131
1064.917045,508,3478362481,2343461934,896,884
1064.927348,509,3478356481,2343461934,200,188
1064.935805,510,3478353481,2343461934,141,129
1064.947766,511,3478359481,2343461934,186,174
1064.963686,512,3478374481,2343461934,844,832
1064.97524,513,3478368481,2343461934,218,206
1064.983794,514,3478365481,2343461934,143,131
1064.995304,515,3478371481,2343461934,203,191
1065.003508,516,3478386481,2343461934,933,921
1065.01571,517,3478380481,2343461934,219,207
1065.027253,518,3478377481,2343461934,192,180
1065.038982,519,3478383481,2343461934,198,186
1065.046466,520,3478398481,2343461934,951,939
1065.053311,521,3478392481,2343461934,231,219
1065.063027,522,3478389481,2343461934,167,155
1065.070248,523,3478395481,2343461934,141,129
1065.077535,524,3478410481,2343461934,930,918
1097.998897,525,3478404481,2343461934,165,153
1131.360483,526,3478401481,2343461934,194,182
1164.844975,527,3478407481,2343461934,196,184
1198.346493,528,3478422481,2343461934,931,919
1231.701721,529,3478416481,2343461934,214,202
1265.247682,530,3478413481,2343461934,168,156
1298.58773,531,3478419481,2343461934,173,161
1331.836194,532,3478434481,2343461934,919,907
1365.233994,533,3478428481,2343461934,215,203
1398.487076,534,3478425481,2343461934,175,163
1431.984699,535,3478431481,2343461934,192,180
1465.221908,536,3478446481,2343461934,836,824
1498.469598,537,3478440481,2343461934,282,270
1531.833833,538,3478437481,2343461934,191,179
1565.253918,539,3478443481,2343461934,217,205
1598.647877,540,3478458481,2343461934,999,987
1631.803335,541,3478452481,2343461934,214,202
1665.217655,542,3478449481,2343461934,179,167
1698.41375,543,3478455481,2343461934,179,167
1731.728893,544,3478470481,2343461934,980,968
1765.268476,545,3478464481,2343461934,246,234
1798.681899,546,3478461481,2343461934,193,181
1831.852985,547,3478467481,2343461934,242,230
1865.327904,548,3478482481,2343461934,821,809
1898.495004,549,3478476481,2343461934,276,264
1931.823719,550,3478473481,2343461934,186,174
1965.200363,551,3478479481,2343461934,211,199
1998.38061,552,3478494481,2343461934,864,852
2032.002855,553,3478488481,2343461934,292,280
2065.328391,554,3478485481,2343461934,209,197
2098.546222,555,3478491481,2343461934,181,169
2131.934857,556,3478506481,2343461934,940,928
2165.145485,557,3478500481,2343461934,266,254
2198.655558,558,3478497481,2343461934,225,213
2231.727305,559,3478503481,2343461934,226,214
2265.241138,560,3478518481,2343461934,1017,1005
2298.67778,561,3478512481,2343461934,267,255
2331.62229,562,3478509481,2343461934,217,205
2365.212395,563,3478515481,2343461934,222,210
2398.485243,564,3478530481,2343461934,924,912
2431.919739,565,3478524481,2343461934,279,267
2465.047036,566,3478521481,2343461934,232,220
2498.547482,567,3478527481,2343461934,228,216
2531.729366,568,3478542481,2343461934,917,905
2565.305835,569,3478536481,2343461934,220,208
2598.561169,570,3478533481,2343461934,179,167
2632.035541,571,3478539481,2343461934,192,180
2665.367986,572,3478554481,2343461934,849,837
2698.325475,573,3478548481,2343461934,195,183
2731.708482,574,3478545481,2343461934,156,144
2765.079584,575,3478551481,2343461934,154,142
2798.559841,576,3478566481,2343461934,877,865
2831.977558,577,3478560481,2343461934,198,186
2865.186899,578,3478557481,2343461934,186,174
2898.454785,579,3478563481,2343461934,190,178
2931.881002,580,3478578481,2343461934,1048,1036
2965.139739,581,3478572481,2343461934,254,242
2998.430168,582,3478569481,2343461934,191,179
3031.747425,583,3478575481,2343461934,224,212
3065.105876,584,3478590481,2343461934,1005,993
3098.617326,585,3478584481,2343461934,264,252
3131.795208,586,3478581481,2343461934,214,202
3165.286336,587,3478587481,2343461934,167,155
3198.62701,588,3478602481,2343461934,1009,997
3231.699885,589,3478596481,2343461934,253,241
3265.275428,590,3478593481,2343461934,191,179
3298.484434,591,3478599481,2343461934,168,156
3331.824097,592,3478614481,2343461934,976,964
3365.288184,593,3478608481,2343461934,221,209
3398.496525,594,3478605481,2343461934,188,176
3431.947791,595,3478611481,2343461934,234,222
3465.153349,596,3478626481,2343461934,851,839
3498.519521,597,3478620481,2343461934,254,242
3531.735464,598,3478617481,2343461934,196,184
3565.227243,599,3478623481,2343461934,181,169
3598.504388,600,3478638481,2343461934,1003,991
3631.854536,601,3478632481,2343461934,230,218
3665.287382,602,3478629481,2343461934,166,154
3698.445733,603,3478635481,2343461934,173,161
3731.705923,604,3478650481,2343461934,913,901
3765.124743,605,3478644481,2343461934,222,210
3798.560585,606,3478641481,2343461934,196,184
3831.744386,607,3478647481,2343461934,204,192
3865.259118,608,3478662481,2343461934,872,860
3898.572926,609,3478656481,2343461934,270,258
3931.876262,610,3478653481,2343461934,194,182
3965.031789,611,3478659481,2343461934,205,193
3998.446478,612,3478674481,2343461934,803,791
4031.933068,613,3478668481,2343461934,254,242
4065.061275,614,3478665481,2343461934,199,187
4098.568772,615,3478671481,2343461934,195,183
4131.765913,616,3478686481,2343461934,827,815
4165.415221,617,3478680481,2343461934,255,243
4198.521713,618,3478677481,2343461934,186,174
4231.740998,619,3478683481,2343461934,200,188
4265.282647,620,3478698481,2343461934,962,950
4298.519864,621,3478692481,2343461934,240,228
4331.964721,622,3478689481,2343461934,245,233
4365.20509,623,3478695481,2343461934,203,191
4398.677786,624,3478710481,2343461934,792,780
4432.119124,625,3478704481,2343461934,274,262
4465.086314,626,3478701481,2343461934,212,200
4498.648957,627,3478707481,2343461934,196,184
4531.859535,628,3478722481,2343461934,930,918
4564.937722,629,3478716481,2343461934,212,200
4598.578644,630,3478713481,2343461934,250,238
4631.935117,631,3478719481,2343461934,185,173
4665.21525,632,3478734481,2343461934,837,825
4698.510211,633,3478728481,2343461934,238,226
4731.70036,634,3478725481,2343461934,193,181
4765.326196,635,3478731481,2343461934,183,171
4798.39256,636,3478746481,2343461934,914,902
4831.674011,637,3478740481,2343461934,251,239
4865.271733,638,3478737481,2343461934,180,168
4898.340089,639,3478743481,2343461934,188,176
4931.94994,640,3478758481,2343461934,955,943
4965.085711,641,3478752481,2343461934,266,254
4998.575544,642,3478749481,2343461934,190,178
5032.03572,643,3478755481,2343461934,222,210
5065.428818,644,3478770481,2343461934,844,832
5098.655587,645,3478764481,2343461934,248,236
5131.650664,646,3478761481,2343461934,236,224
5165.264888,647,3478767481,2343461934,210,198
5198.486259,648,3478782481,2343461934,916,904
5231.681709,649,3478776481,2343461934,285,273
5265.234949,650,3478773481,2343461934,257,245
5298.399413,651,3478779481,2343461934,219,207
5332.019955,652,3478794481,2343461934,889,877
5365.009528,653,3478788481,2343461934,264,252
5398.490426,654,3478785481,2343461934,257,245
5431.834217,655,3478791481,2343461934,235,223
5465.327848,656,3478806481,2343461934,961,949
5498.330886,657,3478800481,2343461934,340,328
5531.945807,658,3478797481,2343461934,248,236
5565.065248,659,3478803481,2343461934,197,185
5598.410874,660,3478818481,2343461934,1007,995
5632.087584,661,3478812481,2343461934,279,267
5665.269303,662,3478809481,2343461934,193,181
5698.469696,663,3478815481,2343461934,201,189
5731.652139,664,3478830481,2343461934,961,949
5765.280332,665,3478824481,2343461934,265,253
5798.585466,666,3478821481,2343461934,176,164
5832.124381,667,3478827481,2343461934,226,214
5865.459614,668,3478842481,2343461934,1113,1101
5898.622304,669,3478836481,2343461934,245,233
5932.027956,670,3478833481,2343461934,226,214
5965.043254,671,3478839481,2343461934,171,159
5998.430415,672,3478854481,2343461934,842,830
6032.004396,673,3478848481,2343461934,256,244
6065.282086,674,3478845481,2343461934,190,178
6098.575185,675,3478851481,2343461934,188,176
6131.653552,676,3478866481,2343461934,948,936
6165.226399,677,3478860481,2343461934,226,214
6198.5703,678,3478857481,2343461934,217,205
6232.178825,679,3478863481,2343461934,223,211
6265.10421,680,3478878481,2343461934,980,968
6298.6314,681,3478872481,2343461934,266,254
6332.011063,682,3478869481,2343461934,253,241
6365.140958,683,3478875481,2343461934,212,200
6398.316703,684,3478890481,2343461934,791,779
6431.679722,685,3478884481,2343461934,232,220
6465.190301,686,3478881481,2343461934,195,183
6498.30502,687,3478887481,2343461934,206,194
6531.887642,688,3478902481,2343461934,871,859
6565.155376,689,3478896481,2343461934,199,187
6598.409713,690,3478893481,2343461934,150,138
6631.975688,691,3478899481,2343461934,225,213
6665.301561,692,3478914481,2343461934,874,862
6698.587054,693,3478908481,2343461934,197,185
6731.753529,694,3478905481,2343461934,203,191
6765.289486,695,3478911481,2343461934,199,187
6798.485276,696,3478926481,2343461934,1016,1004
6831.938039,697,3478920481,2343461934,234,222
6865.408852,698,3478917481,2343461934,176,164
6898.575095,699,3478923481,2343461934,171,159
6932.02997,700,3478938481,2343461934,866,854
6965.079978,701,3478932481,2343461934,260,248
6998.544412,702,3478929481,2343461934,215,203
7031.79488,703,3478935481,2343461934,193,181
7065.318889,704,3478950481,2343461934,928,916
7098.496269,705,3478944481,2343461934,248,236
7131.836455,706,3478941481,2343461934,216,204
7165.243293,707,3478947481,2343461934,206,194
7198.580551,708,3478962481,2343461934,850,838
7232.023154,709,3478956481,2343461934,275,263
7265.096336,710,3478953481,2343461934,222,210
7298.604035,711,3478959481,2343461934,222,210
7332.036417,712,3478974481,2343461934,981,969
7365.316463,713,3478968481,2343461934,261,249
7398.378124,714,3478965481,2343461934,261,249
7431.883417,715,3478971481,2343461934,232,220
7465.200045,716,3478986481,2343461934,882,870
7498.453668,717,3478980481,2343461934,241,229
7531.980754,718,3478977481,2343461934,177,165
7565.088764,719,3478983481,2343461934,221,209
7598.503413,720,3478998481,2343461934,881,869
7631.984257,721,3478992481,2343461934,208,196
7665.25748,722,3478989481,2343461934,178,166
7698.695336,723,3478995481,2343461934,251,239
7732.126235,724,3479010481,2343461934,978,966
7765.233928,725,3479004481,2343461934,263,251
7798.613506,726,3479001481,2343461934,209,197
7831.963283,727,3479007481,2343461934,243,231
7865.260435,728,3479022481,2343461934,902,890
7898.563844,729,3479016481,2343461934,244,232
7932.041613,730,3479013481,2343461934,181,169
7965.255987,731,3479019481,2343461934,174,162
7998.445679,732,3479034481,2343461934,900,888
8032.02872,733,3479028481,2343461934,269,257
8065.23766,734,3479025481,2343461934,206,194
8098.427151,735,3479031481,2343461934,239,227
8132.052871,736,3479046481,2343461934,930,918
8165.294345,737,3479040481,2343461934,261,249
8198.573919,738,3479037481,2343461934,220,208
8232.019333,739,3479043481,2343461934,241,229
