mode,observationCount,passCount,passRatePct,receivedPackets_count,receivedPackets_mean,receivedPackets_median,receivedPackets_min,receivedPackets_max,receivedPackets_std,avgBitrateKbps_count,avgBitrateKbps_mean,avgBitrateKbps_median,avgBitrateKbps_min,avgBitrateKbps_max,avgBitrateKbps_std,packetLossPct_count,packetLossPct_mean,packetLossPct_median,packetLossPct_min,packetLossPct_max,packetLossPct_std,avgJitterMs_count,avgJitterMs_mean,avgJitterMs_median,avgJitterMs_min,avgJitterMs_max,avgJitterMs_std
dtls_rtp,4,4,100.0,4,769.0,769.0,769.0,769.0,0.0,4,102.17,102.17,102.17,102.17,0.0,4,0.0,0.0,0.0,0.0,0.0,4,0.975089,0.95853,0.942776,1.040521,0.038518
plain_rtp,4,4,100.0,4,2328.0,2328.0,2328.0,2328.0,0.0,4,833.605,833.605,833.605,833.605,0.0,4,0.0,0.0,0.0,0.0,0.0,4,0.29405,0.298428,0.242929,0.336413,0.034151
